title,img,content,region,price,link
숀리 엑스바이크 실내자전거 판매합니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202111/e89b42698cd7405e96caf76b4f4dd8fb19a6891b843a3a4124483397ca5ec2f1.webp?q=82&s=300x300&t=crop,"이사를 가게 되어 숀리 엑스바이크 실내자전거를 판매합니다.

방금 건전지 교체하였으며, 디지털 계기판 부분 아주 잘 작동합니다.

제품에 사용감은 조금 있으나 하자는 없으며, 페달 무게 조절부도 정상 작동하는것을 확인하였습니다.

디지털 계기판에서는 주행속도, 운동시간, 주행거리, 칼로리 소모량이 표현됩니다.

사이즈는 최대 높이 약 135cm이고 최대 폭은 약 40cm입니다.

중형세단 하이브리드 차량 기준 트렁크에 걸쳐지는 상태로 적재 가능합니다. 

그렇지만 웬만하면 조수석에서 뒷좌석쪽으로 넘어가듯이 싣는것이 좋을듯 합니다.

다이어트나 운동에 관심 있으신분들께 추천 드립니다.

평소에는 옷걸이로 사용하셔도 됩니다.

많은 채팅주세요.",전남 해남군 해남읍,"60,000원",https://www.daangn.com/articles/310160298
스트라이더 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/DA61B4451EAA4A2987903933DE0D9C4919E7E6C25375C0CC52F542E37DA69EB0.jpg?q=82&s=300x300&t=crop,"자전거 안타서  판매합니다.
몇번안타고 집에서만보관해서 상태좋아요",전남 해남군 해남읍,"280,000원",https://www.daangn.com/articles/307735795
어린이 자전거 입니다,https://dnvefa72aowie.cloudfront.net/origin/article/202110/9d331fd574d8a884d850317e8ec0a0cb539531f962c3924d2aa565dad31485c6.webp?q=82&s=300x300&t=crop,"주로 집에서만 몇번타던거고
상태 아주양호합니다",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/307173664
자전거.체로xc30,https://dnvefa72aowie.cloudfront.net/origin/article/202110/d6c14d4c3a421009790d6b38c1f3e0807f8d029a1c8c2b591324bc08d1dc099e.webp?q=82&s=300x300&t=crop,"첼로xc30slx.24단
2021년6월 신품구매1290000원
주행거리10km이내' 보관중",전남 해남군 해남읍,"850,000원",https://www.daangn.com/articles/306439166
기타 중고물품,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_etc.png,자전거을잘안타서 올립니다 수리해서상태는좋습니다 원가는26만원에구입해서 타다가 개인사정상 못타게되었습니다  직거래구요 사실분은 쳇주세요  환불이나 반품안된다는점 양해바랍니다  쳇주시면 사진보내드리겠습니다,전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/305340664
스피닝자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202110/fe227349aaa49e47836ba104dcfd16061b8849b9f2c2f9b2d32a72910e69d015.webp?q=82&s=300x300&t=crop,상태양호 클럽용으로  무겁습니다,전남 해남군 해남읍,"200,000원",https://www.daangn.com/articles/304097816
운동기구  판매합니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202109/abb4c7860cba35a6756f8b2ea8adea212b55af16fa01067b37d0fcf2e0a917ab.webp?q=82&s=300x300&t=crop,운동기구  판매해요? 자전거  좋아하시는분  가져가세요 ~  직거래  가능    황산면   쳇 주세요~~,전남 해남군 황산면,"150,000원",https://www.daangn.com/articles/287890023
운동 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202110/5887772D7CA5D430AFDA8D30204CF4E0A578D61FB786D48E3F27F06CEEB9D6F1.jpg?q=82&s=300x300&t=crop,"전기플러그 있고  작동 다 됩니다 

문의    010 8613 8673",전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/299626329
로드자전거 첼로 스칼라티 105,https://dnvefa72aowie.cloudfront.net/origin/article/202110/4cd22eac50151cb62697d11dcea64b282afef8f204540977f04ab09d1981f8b9.webp?q=82&s=300x300&t=crop,"광주 풍암mtb에서 2020년 8월쯤 구매했습니다.

1년동안 1000km쯤 탄 거 같습니다.

상태는 얼마안타기도 했고, 작년에 구입한 제품이라 매우 좋은편입니다.
저번달에 튜브 교체받았고, 점검도 받았습니다.
오일만 다시 한번 뿌려주시면 될 거 같습니다.

사이즈는 470이고, 160 중반에 170초중까지는 탈 수 있을겁니다.

시마노 105급 자전거로 가성비 매우 우수한 제품입니다.

헬멧이랑 전조등, 후미등, 관절락 자물쇠, 펌프, 물병케이지, 핸드폰거치대랑 같이 드리겠습니다.

배달은 힘들고 동네로 와주세요

https://www.cellobike.co.kr/product/product_view.html?b_code=8322",전남 해남군 화산면,"713,000원",https://www.daangn.com/articles/297252482
로드자전거 첼로 스칼라티 105(2019년식) 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202110/3dbe2ecdb284f716ad3adc92e304b49c85db72fab5d1a84d6c3a6d200715cb61.webp?q=82&s=300x300&t=crop,"광주 풍암mtb에서 2020년 8월쯤 구매했습니다.

1년동안 1000km쯤 탄 거 같습니다.

상태는 얼마안타기도 했고, 작년에 구입한 제품이라 매우 좋은편입니다.
저번달에 튜브 교체받았고, 점검도 받았습니다.
오일만 다시 한번 뿌려주시면 될 거 같습니다.

사이즈는 470이고, 160 중반에 170초중까지는 탈 수 있을겁니다.

시마노 105급 자전거로 가성비 매우 우수한 제품입니다.

입문용 로드자전거로 클라리스급 모델로 시작을 하시는데. 105급으로 시작하시면 차고 넘칠정도라고 생각합니다.

헬멧이랑 전조등, 후미등, 관절락 자물쇠, 펌프, 물병케이지, 핸드폰거치대랑 같이 드리겠습니다.

배달은 힘들고 동네로 와주세요

https://www.cellobike.co.kr/product/product_view.html?b_code=8322",전남 해남군 화산면,"713,000원",https://www.daangn.com/articles/297144860
알루미늄자전거바디,https://dnvefa72aowie.cloudfront.net/origin/article/202110/2e7ff695abb2f36441ccdef6215f805daa7a72368b069c7b859f2ea49bdc80bb.webp?q=82&s=300x300&t=crop,반품 환불  불가합니다,전남 해남군 황산면,"30,000원",https://www.daangn.com/articles/297899441
자전거 팝니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202110/2b6ab31c0221a96636e336fd710621343c8868ccf5406e6e3920fe81b7415962.webp?q=82&s=300x300&t=crop,"자전거 구입한지 12일됨 두번 탓어요.
자전거 가 갑자기 두대가 되어서 한대 팔려합니다.
010-3608-7535
해남군 삼산면 화내리에 보관중",전남 해남군 해남읍,"150,000원",https://www.daangn.com/articles/297830110
엑사이더 싸이클(자전거),https://dnvefa72aowie.cloudfront.net/origin/article/202110/df9a10fd03f924be01253d3ddca754d55850476f6743605ff55dcd2036d830bd.webp?q=82&s=300x300&t=crop,"21년 2월에구매해서 실사용 10회도 안된 엑사에더 실내 자전거입니다. 안장포함 11만원입니다.

※ 픽업하러 오셔야합니다.",전남 해남군 해남읍,"110,000원",https://www.daangn.com/articles/295036524
탁스 부시도(스마트로라),https://dnvefa72aowie.cloudfront.net/origin/article/202110/84968c2c9bf053f9ff1acb9a0a00697db9875fc5926899b9af279b3d6eabd61a.webp?q=82&s=300x300&t=crop,"실내에서 자전거를 즐길 수 있게 도와주는 기기입니다.

자전거를 판매하게 되면서 같이 판매합니다.

겨울에 라이딩을 즐기기에 제약이 있으니, 구입하시는것도 좋은 선택이라 생각합니다.

휠온 방식이라 소음이 있고, 저항을 통해 야외 라이딩에서 경험하는듯한 경사를 구현해주지만 생각보다 저항이 강합니다.(장점일수도)

즈위프트는 호환이 되는지 모르겠습니다
(해외에서 사용할 수 있도록 프로그램을 만들어서 배포중이지만, 번거롭습니다)

탁스 트레이닝 어플을 통해서 라이딩 할 수 있고, 간단하고, 사용이 편합니다.
자가발전이라 따로 전기가 필요없습니다.

구성은 기기랑 경사대, qr레버 입니다.",전남 해남군 화산면,"260,000원",https://www.daangn.com/articles/299281868
여아  자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202110/c8560ed51466280aee1e84e54f83796045ce94161c58944b9c1318601a21c91d.webp?q=82&s=300x300&t=crop,"아이가 커서  내놓아요.
깨끗합니다
반품은  불가합니다",전남 해남군 해남읍,"70,000원",https://www.daangn.com/articles/296168711
자전거 헬멧 가격 내렸어요,https://dnvefa72aowie.cloudfront.net/origin/article/202110/4068fda7c7e2da1ab5d87e014b0982ed60a119807e2c7e63db6b328b3c6f25f3.webp?q=82&s=300x300&t=crop,"구입해서  안쓰고
모셔 놓았어요~",전남 해남군 해남읍,"10,000원",https://www.daangn.com/articles/296160226
줄라이카 미니바이크,https://dnvefa72aowie.cloudfront.net/origin/article/202110/D8ED276E94278C83F6EE805E5B6E52B1BB94AB0F46B33D5CAD87996FAC476B7F.jpg?q=82&s=300x300&t=crop,"유러피안 디자인의 심플하고 세련된 자전거로
깔끔하고 고급스러운 유럽풍 디자인입니다.
쾅폭바퀴.실내주행시 소음이 발생하지 않고
걷기시작하는 12개월부터 가장필요한 근력강화,균형감각, 방향감각 등 신체발달에 도움이 됩니다.
모서리 없는 안전한 디자인

상태 좋으나 예민하신분은 피해주세요",전남 해남군 해남읍,"19,000원",https://www.daangn.com/articles/294079064
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202110/b3c0a1ead38123a0377632dbf7eb4137ed54436f9f1e843d8a9c6e6570938f10.webp?q=82&s=300x300&t=crop,필요하신분가져가세요,전남 해남군 황산면,나눔,https://www.daangn.com/articles/295215666
자전거 헬멧  필요 하신분~,https://dnvefa72aowie.cloudfront.net/origin/article/202110/4f31cdc19329bbbcec1988b55056ef605160984002f10370b0072c20d16c662a.webp?q=82&s=300x300&t=crop,자전거 탈때 쓸려고 구입했는데  스타일이 맘에 안들어서  모셔놓고 있어요~^^,전남 해남군 해남읍,"15,000원",https://www.daangn.com/articles/295096860
레스포 라빈 26인치 자전거 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202110/b952214375f99fd34c873a4c0ef8d10f03011aab59b896b2edc66ee9c37e2056.webp?q=82&s=300x300&t=crop,"구매후 지금은 잘 타지 않아서 판매합니다.
필요하신분 연락주세요.
사진을 보시면 아시겠지만 관리상태는 양호합니다.",전남 해남군 해남읍,"80,000원",https://www.daangn.com/articles/294587654
자전거 헬멧  필요하신분~,https://dnvefa72aowie.cloudfront.net/origin/article/202110/0d04b11cfc26c2fc3457825ca68d16362d08644b73c87cc2715f23c165d5b212.webp?q=82&s=300x300&t=crop,자전거 탈때 쓸려고 구입했는데  스타일이 맘에 안들어서  모셔놓고 있어요~^^,전남 해남군 해남읍,"15,000원",https://www.daangn.com/articles/294559858
스포츠/레저,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_sports.png,남  여 자전거 삽니다,전남 해남군 삼산면,-,https://www.daangn.com/articles/292421867
완전 새재품 삼천리 어린이용 18인치 자전거 팔아요,https://dnvefa72aowie.cloudfront.net/origin/article/202108/3BB87975B7BB8842402645FD5158B4F289A0056D239AF242DD231F87AB3A495C.jpg?q=82&s=300x300&t=crop,"아이나이에 안맞아서 팔아요 
한번도 타본적없는 새제품 입니다 
필요하신분 연락주세요 

바퀴비닐도 오픈 안함


해남상품권 가능",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/279932433
운동기구 ( 자전거),https://dnvefa72aowie.cloudfront.net/origin/article/202109/476D8A67F0E9394829F9D591DCC5A8DF4A1C166CAB90EE52114736C5206689C2.jpg?q=82&s=300x300&t=crop,"하나당 2만원씩으로 판매합니다 
3개 다 가져가시면 5만원에 드릴게요 
추석이라 시골 내려온거여서 오늘만 판매 가능합니다 
자전거는 앞에 화면이 고장났지만 운동하는데는 문제가 전혀 없고 나머지 2개 제품은 새 제품입니다 
해남 군청근처입니다

♥️ 자전거만 남았어요 ♥️",전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/288688821
노펑크 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/168f40d4fd5be74611a52ae8a30c9ff45bcc9b424b68deaa5338d749a1703710.webp?q=82&s=300x300&t=crop,조선소 용이라 노빵꾸 타이어 입니다 키 170 이상 되시는분 권장 입니다 하자는 없고 승용차 에 실립니다 삼호 3차에 오시면 되요 원하시면 헬멧도 드려요 안장은 큐션 좋아요,전남 해남군 화원면,"30,000원",https://www.daangn.com/articles/288302916
자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202109/55a85a56a7cac5d8c0cc1221f226f6aefac1d31fd1448b71b7ba11d17b6e6907.webp?q=82&s=300x300&t=crop,"지인분부탁으로 대신올려요
가격은50000원입니다
자전거 바퀴 교체  했구요
물통꽃이  자물쇠 다드립니다~~",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/286257223
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202106/c3306effbfad567752942d0720eed703adca5bdee7c3194e593fabfacdda278a.webp?q=82&s=300x300&t=crop,"목포 알톤대리점에서 한달전에 450000 구입  하이브리드
상태새것  시장바구니 걸고다니는 핸들바 기스조금
사이즈 m     170    180",전남 해남군 해남읍,"298,000원",https://www.daangn.com/articles/250347070
은성헬스빌 SP8900S 실내자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202109/89b840e9acf3764621de26bd3517cc19018b7ef19d1723e57c7ba93ee4791877.webp?q=82&s=300x300&t=crop,"구입후 사용이 없어 자리만 차지하고 
있어 판매합니다.
운동 강도 조절가능하고 등받이 있어
운동하실때 무리 안가고 구입시 30만원
넘게 주고 구입했어요.
인지도 있는 상품이니 검색해보시고
구입하시길 바랍니다.
바닥매트까지 드려요.
무게가 있어 직접 오셔서 가지고 
가셔야 합니다.
해남군 계곡면입니다.",전남 해남군 계곡면,"70,000원",https://www.daangn.com/articles/284770995
이고진806r 실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/072b417efbb01d646704f0ccf1025022acf387cf67f4cbcf79a288b240839b83.webp?q=82&s=300x300&t=crop,"거의 안탔습니다
1달 정도 타고 둘째임신으로
팝니다 ㅠㅠ

둘째가 너무 빨리생겨서 ㅠ",전남 해남군 해남읍,"120,000원",https://www.daangn.com/articles/281725374
삽니다,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_buy.png,성인 2인용  자전거 삽니다,전남 해남군 화산면,-,https://www.daangn.com/articles/280140474
운동기구  판매합니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202109/23a039281e76b8eb6f21b75f31024d4ebfd2a4cd346285035ed95fde915e9de1.webp?q=82&s=300x300&t=crop,"운동기구  판매합니다. 자전거30만원.아령3만원. 윗몸일으키기5만원
윗몸일으키기20만원
운동 좋아하시는  분은 직접가지러  오셔야합니다. 별도 구매도 가능",전남 해남군 황산면,"580,000원",https://www.daangn.com/articles/285122733
레스포 라빈 26인치 자전거 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202110/b952214375f99fd34c873a4c0ef8d10f03011aab59b896b2edc66ee9c37e2056.webp?q=82&s=300x300&t=crop,"구매후 지금은 잘 타지 않아서 판매합니다.
필요하신분 연락주세요.
사진을 보시면 아시겠지만 관리상태는 양호합니다.",전남 해남군 해남읍,"80,000원",https://www.daangn.com/articles/294587654
자전거 헬멧  필요하신분~,https://dnvefa72aowie.cloudfront.net/origin/article/202110/0d04b11cfc26c2fc3457825ca68d16362d08644b73c87cc2715f23c165d5b212.webp?q=82&s=300x300&t=crop,자전거 탈때 쓸려고 구입했는데  스타일이 맘에 안들어서  모셔놓고 있어요~^^,전남 해남군 해남읍,"15,000원",https://www.daangn.com/articles/294559858
스포츠/레저,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_sports.png,남  여 자전거 삽니다,전남 해남군 삼산면,-,https://www.daangn.com/articles/292421867
완전 새재품 삼천리 어린이용 18인치 자전거 팔아요,https://dnvefa72aowie.cloudfront.net/origin/article/202108/3BB87975B7BB8842402645FD5158B4F289A0056D239AF242DD231F87AB3A495C.jpg?q=82&s=300x300&t=crop,"아이나이에 안맞아서 팔아요 
한번도 타본적없는 새제품 입니다 
필요하신분 연락주세요 

바퀴비닐도 오픈 안함


해남상품권 가능",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/279932433
운동기구 ( 자전거),https://dnvefa72aowie.cloudfront.net/origin/article/202109/476D8A67F0E9394829F9D591DCC5A8DF4A1C166CAB90EE52114736C5206689C2.jpg?q=82&s=300x300&t=crop,"하나당 2만원씩으로 판매합니다 
3개 다 가져가시면 5만원에 드릴게요 
추석이라 시골 내려온거여서 오늘만 판매 가능합니다 
자전거는 앞에 화면이 고장났지만 운동하는데는 문제가 전혀 없고 나머지 2개 제품은 새 제품입니다 
해남 군청근처입니다

♥️ 자전거만 남았어요 ♥️",전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/288688821
노펑크 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/168f40d4fd5be74611a52ae8a30c9ff45bcc9b424b68deaa5338d749a1703710.webp?q=82&s=300x300&t=crop,조선소 용이라 노빵꾸 타이어 입니다 키 170 이상 되시는분 권장 입니다 하자는 없고 승용차 에 실립니다 삼호 3차에 오시면 되요 원하시면 헬멧도 드려요 안장은 큐션 좋아요,전남 해남군 화원면,"30,000원",https://www.daangn.com/articles/288302916
자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202109/55a85a56a7cac5d8c0cc1221f226f6aefac1d31fd1448b71b7ba11d17b6e6907.webp?q=82&s=300x300&t=crop,"지인분부탁으로 대신올려요
가격은50000원입니다
자전거 바퀴 교체  했구요
물통꽃이  자물쇠 다드립니다~~",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/286257223
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202106/c3306effbfad567752942d0720eed703adca5bdee7c3194e593fabfacdda278a.webp?q=82&s=300x300&t=crop,"목포 알톤대리점에서 한달전에 450000 구입  하이브리드
상태새것  시장바구니 걸고다니는 핸들바 기스조금
사이즈 m     170    180",전남 해남군 해남읍,"298,000원",https://www.daangn.com/articles/250347070
은성헬스빌 SP8900S 실내자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202109/89b840e9acf3764621de26bd3517cc19018b7ef19d1723e57c7ba93ee4791877.webp?q=82&s=300x300&t=crop,"구입후 사용이 없어 자리만 차지하고 
있어 판매합니다.
운동 강도 조절가능하고 등받이 있어
운동하실때 무리 안가고 구입시 30만원
넘게 주고 구입했어요.
인지도 있는 상품이니 검색해보시고
구입하시길 바랍니다.
바닥매트까지 드려요.
무게가 있어 직접 오셔서 가지고 
가셔야 합니다.
해남군 계곡면입니다.",전남 해남군 계곡면,"70,000원",https://www.daangn.com/articles/284770995
이고진806r 실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/072b417efbb01d646704f0ccf1025022acf387cf67f4cbcf79a288b240839b83.webp?q=82&s=300x300&t=crop,"거의 안탔습니다
1달 정도 타고 둘째임신으로
팝니다 ㅠㅠ

둘째가 너무 빨리생겨서 ㅠ",전남 해남군 해남읍,"120,000원",https://www.daangn.com/articles/281725374
삽니다,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_buy.png,성인 2인용  자전거 삽니다,전남 해남군 화산면,-,https://www.daangn.com/articles/280140474
운동기구  판매합니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202109/23a039281e76b8eb6f21b75f31024d4ebfd2a4cd346285035ed95fde915e9de1.webp?q=82&s=300x300&t=crop,"운동기구  판매합니다. 자전거30만원.아령3만원. 윗몸일으키기5만원
윗몸일으키기20만원
운동 좋아하시는  분은 직접가지러  오셔야합니다. 별도 구매도 가능",전남 해남군 황산면,"580,000원",https://www.daangn.com/articles/285122733
접이식 20인치 미니벨로 바구니 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/EF20152721A5815C881067BC025FD7BE7402D432171A57D78C0731FE14007BDD.jpg?q=82&s=300x300&t=crop,"구성 : 자전거, 자물쇠, 사진에 관리품 두개, 휴대폰 거치대, 안장쿠션
구교리 해남고등학고 후문 직거래 합니다.
바퀴에 바람이 빠져있습니다. 한번 닦긴 했으나 꼼꼼하신 분들은 한번 더 닦고 타셔야해요.
오른쪽 브레이크을 잡을 때 힘이 많이 들어갑니다. 왼쪽 브레이크가 잘 들어서 그냥 탔는 데 점검 한번 받으셔야 할 것 같아요.
직접 보시고 결정해주세요.
금일 7시 30분 이후 11시까지 거래 가능합니다.
거래시 채팅 부탁드립니다~!",전남 해남군 해남읍,"70,000원",https://www.daangn.com/articles/281058106
산악자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202109/10860b3369eb38d298f7e2384dd72e801d32c20934ff703483284d151a1c0236.webp?q=82&s=300x300&t=crop,돈이 필요해서 급하게 올립니다,전남 해남군 해남읍,"350,000원",https://www.daangn.com/articles/280779005
자전거(가격 내렸어요),https://dnvefa72aowie.cloudfront.net/origin/article/202108/6c503159ac1ea904fd67187616e8c560d5a74fb8a015f13b237bf786b145c4a6.webp?q=82&s=300x300&t=crop,"구입해서 사정상 그대로
모셔둔 자전거 내놓습니다
필요하신분 연락주세요~",전남 해남군 해남읍,"150,000원",https://www.daangn.com/articles/276762651
바구니 분리되는 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202108/65a33e464cd53d6d1428719ec0445f4af83a3d8f6cc3adf10ee1196df028b4f9.webp?q=82&s=300x300&t=crop,"2십6만원주고 구입했다가 한두번 밖에 타질 않아서 
내놓아요.바구니는 분리됩니다.",전남 해남군 해남읍,"150,000원",https://www.daangn.com/articles/275680104
자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202108/5C161D3410F8A55DBC08F82976AF7C35D0176CC319093BDABEF5B435F954BF2C.jpg?q=82&s=300x300&t=crop,"2021/05에 구매
후미등과 전조등 벨 번호키 함께 드립니다
(후미등, 전조등 충전식)",전남 해남군 해남읍,"145,000원",https://www.daangn.com/articles/272307255
실내자전거운동기구,https://dnvefa72aowie.cloudfront.net/origin/article/202108/f3f0f7b370aa5161e36ba9ad5303f9a62d1a8b79d44b3ace1f360569bfe2d18f.webp?q=82&s=300x300&t=crop,01096765585,전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/270655059
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202108/f2bc42ca039595e6707eb26ff9abe70f9b01e85838901d33c2c633af808cb155.webp?q=82&s=300x300&t=crop,자전거 가지러 오세요.,전남 해남군 산이면,"50,000원",https://www.daangn.com/articles/267649951
자전거 중고 매매,https://dnvefa72aowie.cloudfront.net/origin/article/202108/4ad43fb447bb8e9e0a942c59dfa39818d82073f95b314749efa296d788c8b227.webp?q=82&s=300x300&t=crop,"♧  타려고 사놓고 쓰지 않아서 내 놉니다.
 필요하신분 연락 주세요",전남 해남군 화원면,"100,000원",https://www.daangn.com/articles/268719197
자전거 헬멧 M 사이즈,https://dnvefa72aowie.cloudfront.net/origin/article/202108/fdae2f5bb959d27899611bfd46d8d53b20c931b7d1658fb030ab1efc8d5b2867.webp?q=82&s=300x300&t=crop,필요한 분 가져가세요.,전남 해남군 해남읍,나눔,https://www.daangn.com/articles/268411758
중고자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202108/62a55fd5b382444ee42e3d76abb4ebb5eeafb0a07d1e9dc63a51fc6f79e9e459.webp?q=82&s=300x300&t=crop,오늘 가지러오시면 네고 가능합니다.,전남 해남군 산이면,"50,000원",https://www.daangn.com/articles/267986667
삽니다,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_buy.png,"삼호중공업 
자전거 구해용",전남 해남군 화원면,"50,000원",https://www.daangn.com/articles/267945048
쌍둥이유모차자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202107/e49ac31621461d89d05eb55e76c662f0d48c6b533561a0972cddaf1f8f8b2d6d.webp?q=82&s=300x300&t=crop,"세번정도만 동네에서 탔어요 
깨끗한편이에요
차양막은 딴소 보관중",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/267206578
기타 중고물품,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_etc.png,"생각보다 당근-동네생활-분실/실종센터를 안보시는것 같아서 여기에 추가로 글 남깁니다.
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
어제 토요일 자전거를 도난 맞았어요.ㅠㅠ

경찰에 신고하면 cctv가 완전 많은 곳이라 범인을 100프로 잡습니다. 그러나 누구나 실수할 수 있어서 혹시나 해서 기회를 드리기 위해 글을 남깁니다. 그래서 도난 장소와 자전거 사진도 안올립니다.

내일 월요일까지 제자리에 가져다 놓으시면,
문제 삼지 않을게요. 화요일 오전에 신고합니다.
그리고 혹시 자전거를 버렸거나 부셨다면,
부모님께 솔직하게 말씀드리고 연락주세요.

그리고 제가 자물쇠를 안 채운건 죄송해요.
그렇다고해서 가져가도 되는건 아니예요.ㅠㅠ

참고로 내일까지 자전거가 안오면
범인 잡아서 이번 기회에 차를 바꿔야겠어요~^^
그럼 자전거를 기다리며...",전남 해남군 해남읍,-,https://www.daangn.com/articles/264992299
자전거 대차or(35만),https://dnvefa72aowie.cloudfront.net/origin/article/202106/e8612c1bf0465b7d09bdc285c139b583f12365a8c216320d96b8ec02e05a3986.webp?q=82&s=300x300&t=crop,2020년  구입후 7일사용 포장 비포장 양용   첼로 소라a급입니다  mtb와 교환원합니다,전남 해남군 해남읍,"350,000원",https://www.daangn.com/articles/253154974
자전거 씨클리스 헬멧,https://dnvefa72aowie.cloudfront.net/origin/article/202107/89dec356486ccbfeca44fc15bc57e38b8ee8c5fad8bc49c1ad7af21c521fe6e4.webp?q=82&s=300x300&t=crop,"씨클리스 hc-058
블랙(유광+무광)
마그네틱 버클
5회 정도 라이딩시 사용
사이즈 s/m 머리둘레 55~58cm
떨어뜨린 적 없으며 자세히 들여다 보아야 보이는 약간의 기스만 있음",전남 해남군 산이면,"20,000원",https://www.daangn.com/articles/262646888
아동용 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202107/4f9a357c3bcfb56a3f25d1c7fb507fd788ca3376943ce3b3a3646302a543a197.webp?q=82&s=300x300&t=crop,타이어는 교체 해주셔야 됩니다,전남 해남군 해남읍,"18,000원",https://www.daangn.com/articles/258232930
삼천리자전거 토마-트라이커 유아용세발자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202107/0365dc0d579e4436a16066357b1da242bba9d23f0cf5a740b94a90575d658dec.webp?q=82&s=300x300&t=crop,"사진그대로에요~ 아이가 어렸을때 타고 지금까지 보관만하고있네요~  
해남읍이고 가지러오셔야 해요 ~",전남 해남군 해남읍,"30,000원",https://www.daangn.com/articles/257756063
XRS로드바이크 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202107/bd20a4052a8729de1683332535415c26810cadfc9ff2f8f36df31364a844c37f.webp?q=82&s=300x300&t=crop,자전거 채인이 고장 나있습니다 안장도 흔들립니다.,전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/259463324
운동기,https://dnvefa72aowie.cloudfront.net/origin/article/202107/9e798699652bdf14c98e1f93ed574406c3cdd287b45f985ac70f38b8fc11a60d.webp?q=82&s=300x300&t=crop,자전거 운동기구 판매합니다~,전남 해남군 해남읍,"10,000원",https://www.daangn.com/articles/259194865
티티카카 자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202107/BCE1A9F827496E217E18D9D09BD6C614005B7B0976C5B85743B232770913C3F8.jpg?q=82&s=300x300&t=crop,"6년 됬구요
가격은 조율가능합니다",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/255355879
기타 중고물품,https://dnvefa72aowie.cloudfront.net/hoian/category/thumbnails/v2/img_thumb_etc.png,안쓰시고 모셔두시는 실내자전거 저렴한거 구해봅니다^^,전남 해남군 해남읍,-,https://www.daangn.com/articles/254235269
